run,seed,model,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,train_time_sec,test_time_sec
16,57,SVC_RBF,0.765,0.7644110275689223,1.0,0.8664772727272727,0.9222778257118206,1,94,0,305,0.2106349000000023,0.021531799999998213
16,57,XGB,0.7625,0.7625,1.0,0.8652482269503546,0.9359102674719586,0,95,0,305,0.04967170000000465,0.0028405999999989717
16,57,MLP,0.8325,0.8305555555555556,0.980327868852459,0.8992481203007519,0.8653666954270924,34,61,6,299,0.8859090999999992,0.002242999999999995
16,57,KNN,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.023490099999996517,0.008653400000000033
16,57,DT,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.014179099999999778,0.0013922999999991248
17,58,ELM,0.79,0.7946666666666666,0.9770491803278688,0.8764705882352941,0.5832614322691976,18,77,7,298,0.008822899999998413,0.0002309999999994261
17,58,LogReg,0.7625,0.7625,1.0,0.8652482269503546,0.6085936151855047,0,95,0,305,0.03408929999999799,0.0010654000000016595
17,58,RF,0.9975,0.9967320261437909,1.0,0.9983633387888707,0.9999827437446075,94,1,0,305,0.11843559999999798,0.021285200000001225
17,58,SVC_RBF,0.765,0.7644110275689223,1.0,0.8664772727272727,0.937946505608283,1,94,0,305,0.2022592000000003,0.01987890000000192
17,58,XGB,0.7625,0.7625,1.0,0.8652482269503546,0.9162553925798101,0,95,0,305,0.046938300000000766,0.002109399999994821
17,58,MLP,0.825,0.8184281842818428,0.9901639344262295,0.8961424332344213,0.8925970664365832,28,67,3,302,0.9917203999999984,0.0017004999999983283
17,58,KNN,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.024315399999998988,0.009830299999997294
17,58,DT,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.01253200000000021,0.0013373999999970465
18,59,ELM,0.7625,0.7692307692307693,0.9836065573770492,0.8633093525179856,0.5181190681622088,5,90,5,300,0.008058800000000588,0.00021329999999863958
18,59,LogReg,0.7625,0.7625,1.0,0.8652482269503546,0.6117687661777395,0,95,0,305,0.01136870000000556,0.0013511999999948898
18,59,RF,0.9975,0.9967320261437909,1.0,0.9983633387888707,1.0,94,1,0,305,0.13561190000000067,0.012671899999993741
18,59,SVC_RBF,0.765,0.7644110275689223,1.0,0.8664772727272727,0.928662640207075,1,94,0,305,0.22549860000000166,0.025788599999998496
18,59,XGB,0.7625,0.7625,1.0,0.8652482269503546,0.9331492666091458,0,95,0,305,0.038435399999997344,0.0015294000000025676
18,59,MLP,0.8175,0.8169398907103825,0.980327868852459,0.8912071535022354,0.8651941328731665,28,67,6,299,0.9703605999999994,0.001627799999994295
18,59,KNN,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.02519309999999564,0.010552400000001683
18,59,DT,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.012529700000001753,0.0011271999999991067
