dataset,metric,optimized,baseline,mean_opt,mean_base,mean_diff,p_wilcoxon,p_bh,significant_bh_0.05
OSA,accuracy,GA,XGB,0.6309090909090909,0.6527272727272726,-0.021818181818181823,0.17529862202030388,0.28921399797712055,False
OSA,accuracy,GA,ELM,0.6309090909090909,0.6572727272727272,-0.026363636363636367,0.18311344368751215,0.28921399797712055,False
OSA,f1,MGO,SVM,0.60963758004678,0.60625069941442,0.003386880632359865,0.9854354858398438,0.9854354858398438,False
OSA,f1,MGO,MLP,0.60963758004678,0.6047867062405555,0.004850873806224401,0.9039076325167246,0.9854354858398438,False
OSA,f1,MGO,LR,0.60963758004678,0.6155165527294475,-0.005878972682667289,0.6476554870605469,0.9106326103210449,False
OSA,f1,MGO,XGB,0.60963758004678,0.5968511699690956,0.012786410077684465,0.956329345703125,0.9854354858398438,False
OSA,f1,MGO,ELM,0.60963758004678,0.6152971985788666,-0.005659618532086635,0.7285060882568359,0.9106326103210449,False
OSA,f1,RUN,SVM,0.5971574969166605,0.60625069941442,-0.009093202497759634,0.5958194732666016,0.9106326103210449,False
OSA,f1,RUN,MLP,0.5971574969166605,0.6047867062405555,-0.007629209323895098,0.6291623521725525,0.9106326103210449,False
OSA,f1,RUN,LR,0.5971574969166605,0.6155165527294475,-0.01835905581278679,0.5705966949462891,0.9106326103210449,False
OSA,f1,RUN,XGB,0.5971574969166605,0.5968511699690956,0.0003063269475649666,0.7285060882568359,0.9106326103210449,False
OSA,f1,RUN,ELM,0.5971574969166605,0.6152971985788666,-0.018139701662206135,0.3759797524564171,0.9106326103210449,False
OSA,f1,CLPSO,SVM,0.5731359595226682,0.60625069941442,-0.03311473989175204,0.025504979843090858,0.42481740315755206,False
OSA,f1,CLPSO,MLP,0.5731359595226682,0.6047867062405555,-0.0316507467178875,0.2305126190185547,0.9106326103210449,False
OSA,f1,CLPSO,LR,0.5731359595226682,0.6155165527294475,-0.042380593206779185,0.05316925048828125,0.42481740315755206,False
OSA,f1,CLPSO,XGB,0.5731359595226682,0.5968511699690956,-0.023715210446427437,0.29542405582364173,0.9106326103210449,False
OSA,f1,CLPSO,ELM,0.5731359595226682,0.6152971985788666,-0.042161239056198535,0.06372261047363281,0.42481740315755206,False
