dataset,metric,optimized,baseline,mean_opt,mean_base,mean_diff,median_opt,median_base,p_ranksum,p_bh,significant_bh_0.05
OSA,recall,GA,LR,0.6739999999999999,0.604,0.06999999999999995,0.66,0.6,0.011881031549672502,0.021282306030558886,True
OSA,recall,GA,XGB,0.6739999999999999,0.5599999999999999,0.11399999999999999,0.66,0.5800000000000001,0.0007959163393098394,0.0031836653572393575,True
OSA,recall,GA,ELM,0.6739999999999999,0.6020000000000001,0.07199999999999984,0.66,0.6,0.003056629228174791,0.00873322636621369,True
OSA,f1,MGO,SVM,0.6638877354779316,0.6062506994144201,0.05763703606351145,0.6666666666666666,0.6100178890876565,0.027483421975621553,0.04228218765480239,True
OSA,f1,MGO,MLP,0.6638877354779316,0.6210111152116606,0.042876620266270926,0.6666666666666666,0.6407547169811321,0.1231088149584372,0.13678757217604132,False
OSA,f1,MGO,LR,0.6638877354779316,0.6155165527294474,0.048371182748484176,0.6666666666666666,0.6198479391756703,0.033717668936863225,0.04816809848123318,True
OSA,f1,MGO,XGB,0.6638877354779316,0.5920235992030548,0.07186413627487676,0.6666666666666666,0.6156462585034014,0.00039476098122862485,0.007895219624572496,True
OSA,f1,MGO,ELM,0.6638877354779316,0.6152971985788668,0.048590536899064785,0.6666666666666666,0.6188034188034188,0.003056629228174791,0.012226516912699164,True
OSA,f1,RUN,SVM,0.6650721605917892,0.6062506994144201,0.05882146117736908,0.679622641509434,0.6100178890876565,0.011432829308440093,0.033301290058999906,True
OSA,f1,RUN,MLP,0.6650721605917892,0.6210111152116606,0.04406104538012856,0.679622641509434,0.6407547169811321,0.1231088149584372,0.13678757217604132,False
OSA,f1,RUN,LR,0.6650721605917892,0.6155165527294474,0.04955560786234181,0.679622641509434,0.6198479391756703,0.020734594207182492,0.041469188414364984,True
OSA,f1,RUN,XGB,0.6650721605917892,0.5920235992030548,0.07304856138873439,0.679622641509434,0.6156462585034014,0.0008773568228766609,0.008773568228766609,True
OSA,f1,RUN,ELM,0.6650721605917892,0.6152971985788668,0.04977496201292242,0.679622641509434,0.6188034188034188,0.013320516023599963,0.033301290058999906,True
OSA,f1,CLPSO,SVM,0.6581539339724959,0.6062506994144201,0.05190323455807577,0.6598639455782312,0.6100178890876565,0.05310312455977325,0.07080416607969767,False
OSA,f1,CLPSO,MLP,0.6581539339724959,0.6210111152116606,0.03714281876083525,0.6598639455782312,0.6407547169811321,0.23932370336933684,0.25029679750351186,False
OSA,f1,CLPSO,LR,0.6581539339724959,0.6155165527294474,0.0426373812430485,0.6598639455782312,0.6198479391756703,0.06011064176288863,0.07513830220361079,False
OSA,f1,CLPSO,XGB,0.6581539339724959,0.5920235992030548,0.06613033476944108,0.6598639455782312,0.6156462585034014,0.0018660638566261292,0.011190897354811758,True
OSA,f1,CLPSO,ELM,0.6581539339724959,0.6152971985788668,0.04285673539362911,0.6598639455782312,0.6188034188034188,0.012824421041516534,0.033301290058999906,True
OSA,f1,GA,SVM,0.6610635910602418,0.6062506994144201,0.054812891645821704,0.6545454545454545,0.6100178890876565,0.02563927200880558,0.04228218765480239,True
OSA,f1,GA,MLP,0.6610635910602418,0.6210111152116606,0.04005247584858118,0.6545454545454545,0.6407547169811321,0.25029679750351186,0.25029679750351186,False
OSA,f1,GA,LR,0.6610635910602418,0.6155165527294474,0.04554703833079443,0.6545454545454545,0.6198479391756703,0.026547517115491904,0.04228218765480239,True
OSA,f1,GA,XGB,0.6610635910602418,0.5920235992030548,0.06903999185718701,0.6545454545454545,0.6156462585034014,0.0022381794709623514,0.011190897354811758,True
OSA,f1,GA,ELM,0.6610635910602418,0.6152971985788668,0.04576639248137504,0.6545454545454545,0.6188034188034188,0.015478602442838574,0.034396894317419054,True
OSA,roc_auc,MGO,SVM,0.7286,0.7462000000000001,-0.01760000000000006,0.7233333333333334,0.7653333333333333,0.159544659377869,0.2900811988688527,False
OSA,roc_auc,MGO,MLP,0.7286,0.7263333333333334,0.002266666666666639,0.7233333333333334,0.734,0.7149798814655983,0.8397142529287884,False
OSA,roc_auc,MGO,LR,0.7286,0.7209333333333332,0.0076666666666668215,0.7233333333333334,0.7333333333333333,0.9138367624408553,0.9568553503696526,False
OSA,roc_auc,MGO,XGB,0.7286,0.6886000000000001,0.039999999999999925,0.7233333333333334,0.702,0.021490317747919475,0.07163439249306491,False
OSA,roc_auc,MGO,ELM,0.7286,0.6526666666666667,0.0759333333333333,0.7233333333333334,0.665,0.0001524694538213556,0.001524694538213556,True
OSA,roc_auc,RUN,SVM,0.7186666666666667,0.7462000000000001,-0.02753333333333341,0.732,0.7653333333333333,0.10751135969600566,0.21502271939201129,False
OSA,roc_auc,RUN,MLP,0.7186666666666667,0.7263333333333334,-0.0076666666666667105,0.732,0.734,0.7557428276359095,0.8397142529287884,False
OSA,roc_auc,RUN,LR,0.7186666666666667,0.7209333333333332,-0.002266666666666528,0.732,0.7333333333333333,0.7149798814655983,0.8397142529287884,False
OSA,roc_auc,RUN,XGB,0.7186666666666667,0.6886000000000001,0.030066666666666575,0.732,0.702,0.04679161534600049,0.11697903836500122,False
OSA,roc_auc,RUN,ELM,0.7186666666666667,0.6526666666666667,0.06599999999999995,0.732,0.665,0.001063895996052807,0.005319479980264035,True
OSA,roc_auc,CLPSO,SVM,0.7329333333333333,0.7462000000000001,-0.01326666666666676,0.7326666666666667,0.7653333333333333,0.23932370336933684,0.3988728389488947,False
OSA,roc_auc,CLPSO,MLP,0.7329333333333333,0.7263333333333334,0.006599999999999939,0.7326666666666667,0.734,0.9568553503696526,0.9568553503696526,False
OSA,roc_auc,CLPSO,LR,0.7329333333333333,0.7209333333333332,0.012000000000000122,0.7326666666666667,0.7333333333333333,0.7250998943601429,0.8397142529287884,False
OSA,roc_auc,CLPSO,XGB,0.7329333333333333,0.6886000000000001,0.044333333333333225,0.7326666666666667,0.702,0.003056629228174791,0.012226516912699164,True
OSA,roc_auc,CLPSO,ELM,0.7329333333333333,0.6526666666666667,0.0802666666666666,0.7326666666666667,0.665,3.929035827884623e-05,0.0007858071655769247,True
OSA,roc_auc,GA,SVM,0.7157333333333333,0.7462000000000001,-0.030466666666666753,0.7193333333333334,0.7653333333333333,0.032601486417430485,0.0931471040498014,False
OSA,roc_auc,GA,MLP,0.7157333333333333,0.7263333333333334,-0.010600000000000054,0.7193333333333334,0.734,0.33691523838231996,0.5183311359727999,False
OSA,roc_auc,GA,LR,0.7157333333333333,0.7209333333333332,-0.005199999999999871,0.7193333333333334,0.7333333333333333,0.40935585574217404,0.5847940796316772,False
OSA,roc_auc,GA,XGB,0.7157333333333333,0.6886000000000001,0.02713333333333323,0.7193333333333334,0.702,0.0720454304673439,0.16010095659409754,False
OSA,roc_auc,GA,ELM,0.7157333333333333,0.6526666666666667,0.0630666666666666,0.7193333333333334,0.665,0.0007959163393098394,0.0053061089287322625,True
SDB,accuracy,MEO,SVM,0.7285,0.76,-0.03149999999999997,0.73,0.76,0.0004372575927067331,0.0007950138049213329,True
SDB,accuracy,MEO,MLP,0.7285,0.746,-0.01749999999999996,0.73,0.75,0.03980114550533244,0.046824877065096984,True
SDB,accuracy,MEO,LR,0.7285,0.759,-0.03049999999999997,0.73,0.76,0.0004839947961413228,0.0008066579935688714,True
SDB,accuracy,MEO,XGB,0.7285,0.76,-0.03149999999999997,0.73,0.76,0.0004372575927067331,0.0007950138049213329,True
SDB,accuracy,MEO,ELM,0.7285,0.7410000000000001,-0.012500000000000067,0.73,0.74,0.1555699325877425,0.159544659377869,False
SDB,accuracy,HIWOA,SVM,0.725,0.76,-0.03500000000000003,0.73,0.76,6.301848221392269e-08,4.201232147594846e-07,True
SDB,accuracy,HIWOA,MLP,0.725,0.746,-0.02100000000000002,0.73,0.75,0.0029250200956793355,0.004178600136684765,True
SDB,accuracy,HIWOA,LR,0.725,0.759,-0.03400000000000003,0.73,0.76,6.301848221392269e-08,4.201232147594846e-07,True
SDB,accuracy,HIWOA,XGB,0.725,0.76,-0.03500000000000003,0.73,0.76,6.301848221392269e-08,4.201232147594846e-07,True
SDB,accuracy,HIWOA,ELM,0.725,0.7410000000000001,-0.016000000000000125,0.73,0.74,0.06011064176288863,0.06678960195876514,False
SDB,accuracy,HGS,SVM,0.723,0.76,-0.03700000000000003,0.725,0.76,2.754456932306396e-07,1.1017827729225584e-06,True
SDB,accuracy,HGS,MLP,0.723,0.746,-0.02300000000000002,0.725,0.75,0.002560615287144587,0.003939408134068596,True
SDB,accuracy,HGS,LR,0.723,0.759,-0.03600000000000003,0.725,0.76,3.6681972655029196e-07,1.2227324218343064e-06,True
SDB,accuracy,HGS,XGB,0.723,0.76,-0.03700000000000003,0.725,0.76,2.754456932306396e-07,1.1017827729225584e-06,True
SDB,accuracy,HGS,ELM,0.723,0.7410000000000001,-0.018000000000000127,0.725,0.74,0.032601486417430485,0.04075185802178811,True
SDB,accuracy,HHO,SVM,0.7245,0.76,-0.035499999999999976,0.73,0.76,4.255128034674995e-06,1.0637820086687486e-05,True
SDB,accuracy,HHO,MLP,0.7245,0.746,-0.021499999999999964,0.73,0.75,0.023903145867558404,0.03187086115674454,True
SDB,accuracy,HHO,LR,0.7245,0.759,-0.034499999999999975,0.73,0.76,1.0377017592246101e-05,2.3060039093880225e-05,True
SDB,accuracy,HHO,XGB,0.7245,0.76,-0.035499999999999976,0.73,0.76,4.255128034674995e-06,1.0637820086687486e-05,True
SDB,accuracy,HHO,ELM,0.7245,0.7410000000000001,-0.01650000000000007,0.73,0.74,0.159544659377869,0.159544659377869,False
SDB,precision,MEO,SVM,0.766592085399106,0.76,0.00659208539910594,0.7634408602150538,0.76,0.27925094536873785,0.4654182422812297,False
SDB,precision,MEO,MLP,0.766592085399106,0.7697294551844893,-0.0031373697853833704,0.7634408602150538,0.7700320512820513,0.2559131501098182,0.4654182422812297,False
SDB,precision,MEO,LR,0.766592085399106,0.7597575757575757,0.0068345096415302065,0.7634408602150538,0.76,0.2339662537301923,0.4654182422812297,False
SDB,precision,MEO,XGB,0.766592085399106,0.76,0.00659208539910594,0.7634408602150538,0.76,0.27925094536873785,0.4654182422812297,False
SDB,precision,MEO,ELM,0.766592085399106,0.7649984244535426,0.0015936609455633466,0.7634408602150538,0.7616516323024054,0.49033426450951045,0.653779019346014,False
SDB,precision,HIWOA,SVM,0.7631433554722703,0.76,0.0031433554722702928,0.7646991535117822,0.76,0.10458826282895559,0.3486275427631853,False
SDB,precision,HIWOA,MLP,0.7631433554722703,0.7697294551844893,-0.006586099712219018,0.7646991535117822,0.7700320512820513,0.04986369021054049,0.3486275427631853,False
SDB,precision,HIWOA,LR,0.7631433554722703,0.7597575757575757,0.003385779714694559,0.7646991535117822,0.76,0.09352184948628163,0.3486275427631853,False
SDB,precision,HIWOA,XGB,0.7631433554722703,0.76,0.0031433554722702928,0.7646991535117822,0.76,0.10458826282895559,0.3486275427631853,False
SDB,precision,HIWOA,ELM,0.7631433554722703,0.7649984244535426,-0.001855068981272301,0.7646991535117822,0.7616516323024054,0.9138367624408553,0.9138367624408554,False
SDB,precision,HGS,SVM,0.7623592084988747,0.76,0.002359208498874721,0.7578947368421053,0.76,0.27925094536873785,0.4654182422812297,False
SDB,precision,HGS,MLP,0.7623592084988747,0.7697294551844893,-0.00737024668561459,0.7578947368421053,0.7700320512820513,0.03486637192888892,0.3486275427631853,False
SDB,precision,HGS,LR,0.7623592084988747,0.7597575757575757,0.002601632741298987,0.7578947368421053,0.76,0.35772797019341296,0.5503507233744814,False
SDB,precision,HGS,XGB,0.7623592084988747,0.76,0.002359208498874721,0.7578947368421053,0.76,0.27925094536873785,0.4654182422812297,False
SDB,precision,HGS,ELM,0.7623592084988747,0.7649984244535426,-0.002639215954667873,0.7578947368421053,0.7616516323024054,0.6263280630826087,0.6592926979816933,False
SDB,precision,HHO,SVM,0.762020472249827,0.76,0.0020204722498270433,0.763163729076599,0.76,0.5885063552717107,0.6538959503019007,False
SDB,precision,HHO,MLP,0.762020472249827,0.7697294551844893,-0.007708982934662267,0.763163729076599,0.7700320512820513,0.0720454304673439,0.3486275427631853,False
SDB,precision,HHO,LR,0.762020472249827,0.7597575757575757,0.0022628964922513095,0.763163729076599,0.76,0.551775319331676,0.6538959503019007,False
SDB,precision,HHO,XGB,0.762020472249827,0.76,0.0020204722498270433,0.763163729076599,0.76,0.5885063552717107,0.6538959503019007,False
SDB,precision,HHO,ELM,0.762020472249827,0.7649984244535426,-0.0029779522037155504,0.763163729076599,0.7616516323024054,0.49033426450951045,0.653779019346014,False
SDB,recall,MEO,SVM,0.9243421052631579,1.0,-0.07565789473684215,0.9276315789473684,1.0,6.301848221392269e-08,1.1457905857076853e-07,True
SDB,recall,MEO,MLP,0.9243421052631579,0.9499999999999998,-0.02565789473684199,0.9276315789473684,0.9473684210526316,0.012824421041516534,0.01508755416649004,True
SDB,recall,MEO,LR,0.9243421052631579,0.9986842105263157,-0.07434210526315788,0.9276315789473684,1.0,7.32676819947719e-08,1.2211280332461982e-07,True
SDB,recall,MEO,XGB,0.9243421052631579,1.0,-0.07565789473684215,0.9276315789473684,1.0,6.301848221392269e-08,1.1457905857076853e-07,True
SDB,recall,MEO,ELM,0.9243421052631579,0.9513157894736841,-0.02697368421052626,0.9276315789473684,0.9605263157894736,0.008354827335644516,0.010443534169555645,True
SDB,recall,HIWOA,SVM,0.9256578947368421,1.0,-0.07434210526315788,0.9342105263157896,1.0,6.301848221392269e-08,1.1457905857076853e-07,True
SDB,recall,HIWOA,MLP,0.9256578947368421,0.9499999999999998,-0.02434210526315772,0.9342105263157896,0.9473684210526316,0.01436384760113641,0.015959830667929345,True
SDB,recall,HIWOA,LR,0.9256578947368421,0.9986842105263157,-0.0730263157894736,0.9342105263157896,1.0,6.301848221392269e-08,1.1457905857076853e-07,True
SDB,recall,HIWOA,XGB,0.9256578947368421,1.0,-0.07434210526315788,0.9342105263157896,1.0,6.301848221392269e-08,1.1457905857076853e-07,True
SDB,recall,HIWOA,ELM,0.9256578947368421,0.9513157894736841,-0.02565789473684199,0.9342105263157896,0.9605263157894736,0.005795918475717191,0.008279883536738844,True
SDB,recall,HGS,SVM,0.9236842105263158,1.0,-0.07631578947368423,0.9276315789473684,1.0,6.301848221392269e-08,1.1457905857076853e-07,True
SDB,recall,HGS,MLP,0.9236842105263158,0.9499999999999998,-0.02631578947368407,0.9276315789473684,0.9473684210526316,0.007113494035772574,0.009484658714363433,True
SDB,recall,HGS,LR,0.9236842105263158,0.9986842105263157,-0.07499999999999996,0.9276315789473684,1.0,6.301848221392269e-08,1.1457905857076853e-07,True
SDB,recall,HGS,XGB,0.9236842105263158,1.0,-0.07631578947368423,0.9276315789473684,1.0,6.301848221392269e-08,1.1457905857076853e-07,True
SDB,recall,HGS,ELM,0.9236842105263158,0.9513157894736841,-0.02763157894736834,0.9276315789473684,0.9605263157894736,0.00348451363809075,0.005360790212447308,True
SDB,recall,HHO,SVM,0.9269736842105262,1.0,-0.07302631578947383,0.9276315789473684,1.0,6.301848221392269e-08,1.1457905857076853e-07,True
SDB,recall,HHO,MLP,0.9269736842105262,0.9499999999999998,-0.023026315789473673,0.9276315789473684,0.9473684210526316,0.032601486417430485,0.032601486417430485,True
SDB,recall,HHO,LR,0.9269736842105262,0.9986842105263157,-0.07171052631578956,0.9276315789473684,1.0,6.301848221392269e-08,1.1457905857076853e-07,True
