run,seed,model,accuracy,f1,roc_auc
18,59,CLPSO,0.6727272727272727,0.625,0.6973333333333334
18,59,GA,0.6727272727272727,0.64,0.6906666666666667
19,60,SVM,0.6727272727272727,0.5714285714285714,0.7173333333333334
19,60,MLP,0.6545454545454545,0.6122448979591837,0.7306666666666667
19,60,LR,0.6363636363636364,0.5833333333333334,0.7493333333333334
19,60,XGB,0.6363636363636364,0.5,0.7013333333333334
19,60,ELM,0.6909090909090909,0.6222222222222222,0.732
19,60,MGO,0.6181818181818182,0.5333333333333333,0.656
19,60,RUN,0.5454545454545454,0.4897959183673469,0.6653333333333333
19,60,CLPSO,0.6,0.5769230769230769,0.6613333333333333
19,60,GA,0.6363636363636364,0.6,0.7413333333333334
20,61,SVM,0.6909090909090909,0.6046511627906976,0.6880000000000001
20,61,MLP,0.6181818181818182,0.5531914893617021,0.6853333333333333
20,61,LR,0.6363636363636364,0.5833333333333334,0.6679999999999999
20,61,XGB,0.7090909090909091,0.6521739130434783,0.72
20,61,ELM,0.7090909090909091,0.6521739130434783,0.7266666666666667
20,61,MGO,0.6909090909090909,0.6792452830188679,0.7279999999999999
20,61,RUN,0.5454545454545454,0.5283018867924528,0.604
20,61,CLPSO,0.6727272727272727,0.6538461538461539,0.6733333333333333
20,61,GA,0.6363636363636364,0.5833333333333334,0.7053333333333334
