run,seed,model,arm,tn,fp,fn,tp,accuracy,precision,recall,sensitivity,specificity,npv,f1,balanced_accuracy,gmean,mcc,roc_auc,pr_auc,brier
2,43,HIWOA,threshold,4,20,18,58,0.62,0.7435897435897436,0.7631578947368421,0.7631578947368421,0.1666666666666666,0.1818181818181818,0.7532467532467533,0.4649122807017544,0.3566412517588793,-0.0723500625453843,0.4923245614035088,0.7792282912098022,0.2074480760018136
2,43,HGS,none,0,24,3,73,0.73,0.7525773195876289,0.9605263157894736,0.9605263157894736,0.0,0.0,0.8439306358381503,0.4802631578947368,0.0,-0.0988265387085873,0.487938596491228,0.7599990435595175,0.2095955505526978
2,43,HGS,smote,5,19,35,41,0.46,0.6833333333333333,0.5394736842105263,0.5394736842105263,0.2083333333333333,0.125,0.6029411764705882,0.3739035087719298,0.3352467015157539,-0.2198567449592883,0.3925438596491228,0.7459803661099397,0.2642882405790518
2,43,HGS,threshold,6,18,21,55,0.61,0.7534246575342466,0.7236842105263158,0.7236842105263158,0.25,0.2222222222222222,0.738255033557047,0.4868421052631579,0.4253481546117003,-0.0253154416385747,0.487938596491228,0.7599990435595175,0.2095955505526978
2,43,HHO,none,1,23,3,73,0.74,0.7604166666666666,0.9605263157894736,0.9605263157894736,0.0416666666666666,0.25,0.8488372093023255,0.5010964912280702,0.2000548170491313,0.0047794944556367,0.4917763157894737,0.7686425371821853,0.208013992745353
2,43,HHO,smote,9,15,28,48,0.57,0.7619047619047619,0.631578947368421,0.631578947368421,0.375,0.2432432432432432,0.6906474820143885,0.5032894736842105,0.4866642633922876,0.0058196610658256,0.5076754385964912,0.7973425939836991,0.2401321770029271
2,43,HHO,threshold,10,14,32,44,0.54,0.7586206896551724,0.5789473684210527,0.5789473684210527,0.4166666666666667,0.238095238095238,0.6567164179104478,0.4978070175438597,0.4911497431287515,-0.0037952372331771,0.4917763157894737,0.7686425371821853,0.208013992745353
3,44,SVM,none,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.4725877192982456,0.7679893371228697,0.1830737395269799
3,44,SVM,smote,4,20,18,58,0.62,0.7435897435897436,0.7631578947368421,0.7631578947368421,0.1666666666666666,0.1818181818181818,0.7532467532467533,0.4649122807017544,0.3566412517588793,-0.0723500625453843,0.4501096491228069,0.741323833251541,0.2569903995415857
3,44,SVM,classweight,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.4572368421052631,0.7369750097711456,0.1828939155867665
3,44,SVM,threshold,9,15,29,47,0.56,0.7580645161290323,0.618421052631579,0.618421052631579,0.375,0.2368421052631578,0.6811594202898551,0.4967105263157895,0.4815681620880289,-0.0057887019087376,0.4725877192982456,0.7679893371228697,0.1830737395269799
3,44,MLP,none,2,22,2,74,0.76,0.7708333333333334,0.9736842105263158,0.9736842105263158,0.0833333333333333,0.5,0.8604651162790697,0.5285087719298246,0.2848514540549038,0.1242668558465542,0.4725877192982456,0.7387954581365597,0.1964992583492786
3,44,MLP,smote,6,18,24,52,0.58,0.7428571428571429,0.6842105263157895,0.6842105263157895,0.25,0.2,0.7123287671232876,0.4671052631578947,0.4135850959342556,-0.0613139339484965,0.4819078947368421,0.7494243751936159,0.2421592250679779
3,44,MLP,threshold,18,6,58,18,0.36,0.75,0.2368421052631578,0.2368421052631578,0.75,0.2368421052631578,0.36,0.4934210526315789,0.4214636152117623,-0.0131578947368421,0.4725877192982456,0.7387954581365597,0.1964992583492786
3,44,XGB,none,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.5296052631578947,0.7890376774310964,0.1833706316243764
