run,seed,model,arm,tn,fp,fn,tp,accuracy,precision,recall,sensitivity,specificity,npv,f1,balanced_accuracy,gmean,mcc,roc_auc,pr_auc,brier
3,44,LR,smote,9,15,33,43,0.52,0.7413793103448276,0.5657894736842105,0.5657894736842105,0.375,0.21428571428571427,0.6417910447761194,0.47039473684210525,0.4606202911635341,-0.05123570264789173,0.4786184210526315,0.7770058434602738,0.2527268002997656
3,44,LR,classweight,10,14,33,43,0.53,0.7543859649122807,0.5657894736842105,0.5657894736842105,0.4166666666666667,0.23255813953488372,0.6466165413533834,0.49122807017543857,0.4855364188555661,-0.015134424309254515,0.48903508771929827,0.7759521233128631,0.2501864094131314
3,44,LR,threshold,7,17,27,49,0.56,0.7424242424242424,0.6447368421052632,0.6447368421052632,0.2916666666666667,0.20588235294117646,0.6901408450704225,0.4682017543859649,0.4336452993104331,-0.05733689173989308,0.4917763157894737,0.7773308336418135,0.186226682897472
3,44,ELM,none,0,24,3,73,0.73,0.7525773195876289,0.9605263157894737,0.9605263157894737,0.0,0.0,0.8439306358381503,0.48026315789473684,0.0,-0.09882653870858735,0.4901315789473684,0.7730406462310713,0.2024292229234258
3,44,ELM,smote,5,19,23,53,0.58,0.7361111111111112,0.6973684210526315,0.6973684210526315,0.20833333333333334,0.17857142857142858,0.7162162162162162,0.45285087719298245,0.381162809989771,-0.08969552289931514,0.47971491228070173,0.7783272152974027,0.23451487723913078
3,44,ELM,threshold,7,17,23,53,0.6,0.7571428571428571,0.6973684210526315,0.6973684210526315,0.2916666666666667,0.23333333333333334,0.726027397260274,0.4945175438596491,0.45099791884998486,-0.010218988991416097,0.4901315789473684,0.7730406462310713,0.2024292229234258
3,44,MEO,none,2,22,3,73,0.75,0.7684210526315789,0.9605263157894737,0.9605263157894737,0.08333333333333333,0.4,0.8538011695906432,0.5219298245614035,0.2829202354889498,0.085947008518708,0.4446271929824561,0.7322876713742326,0.2046486324047222
3,44,MEO,smote,9,15,30,46,0.55,0.7540983606557377,0.6052631578947368,0.6052631578947368,0.375,0.23076923076923078,0.6715328467153284,0.4901315789473684,0.4764175523745177,-0.017281954713449735,0.46107456140350883,0.7298463611533871,0.24706622864194663
3,44,MEO,threshold,20,4,67,9,0.29,0.6923076923076923,0.11842105263157894,0.11842105263157894,0.8333333333333334,0.22988505747126436,0.20224719101123595,0.4758771929824562,0.3141404312187716,-0.06126874050685186,0.4446271929824561,0.7322876713742326,0.2046486324047222
3,44,HIWOA,none,2,22,0,76,0.78,0.7755102040816326,1.0,1.0,0.08333333333333333,1.0,0.8735632183908046,0.5416666666666666,0.28867513459481287,0.25421614885788835,0.5416666666666667,0.7765323237677144,0.19880844761670372
3,44,HIWOA,smote,14,10,34,42,0.56,0.8076923076923077,0.5526315789473685,0.5526315789473685,0.5833333333333334,0.2916666666666667,0.65625,0.5679824561403509,0.567774973957669,0.11622966158867729,0.5646929824561404,0.8099176170841239,0.23734001929708268
3,44,HIWOA,threshold,22,2,69,7,0.29,0.7777777777777778,0.09210526315789473,0.09210526315789473,0.9166666666666666,0.24175824175824176,0.16470588235294117,0.5043859649122807,0.29056810657985765,0.013090782727599752,0.5416666666666667,0.7765323237677144,0.19880844761670372
