model,arm,metric,mean_none,mean_arm,mean_diff,ci_low,ci_high,p_wilcoxon,p_bh,significant_bh_0.05
ELM,threshold,f1,0.8478536585242555,0.605281547717919,-0.2425721108063365,-0.36425251762743516,-0.12089170398523783,1.33514404296875e-05,3.081101637620192e-05,True
ELM,threshold,mcc,0.05885476316505288,0.04997427658071116,-0.008880486584341743,-0.06589414354039023,0.04813317037170675,0.9272785186767578,1.0,False
ELM,threshold,accuracy,0.7410000000000001,0.5495,-0.19149999999999998,-0.27285030269783905,-0.11014969730216087,1.33514404296875e-05,3.081101637620192e-05,True
MEO,smote,roc_auc,0.5201754385964912,0.5142543859649122,-0.005921052631578952,-0.03235790069595197,0.02051579543279407,0.6742229461669922,0.8054875905534863,False
MEO,smote,pr_auc,0.7824836316353312,0.7848073979731413,0.0023237663378100513,-0.014876995849498358,0.019524528525118462,0.5958194732666016,0.7240419556883425,False
MEO,smote,balanced_accuracy,0.5127741228070176,0.4962171052631579,-0.016557017543859628,-0.04264740380847693,0.009533368720757676,0.36827659606933594,0.4922508957362411,False
MEO,smote,gmean,0.29683448868140794,0.4694506805561935,0.1726161918747855,0.12119469139199543,0.22403769235757556,9.5367431640625e-06,2.2587023283305923e-05,True
MEO,smote,sensitivity,0.9151315789473685,0.6361842105263158,-0.27894736842105267,-0.3068185412762239,-0.25107619556588145,1.9073486328125e-06,4.858340857163915e-06,True
MEO,smote,specificity,0.11041666666666664,0.35625,0.2458333333333334,0.20025380189288855,0.29141286477377826,1.9073486328125e-06,4.858340857163915e-06,True
MEO,smote,f1,0.8332909462963182,0.6910006059715001,-0.14229034032481788,-0.1613266954786773,-0.12325398517095845,1.9073486328125e-06,4.858340857163915e-06,True
MEO,smote,mcc,0.031794991540270774,-0.007494638862079609,-0.039289630402350374,-0.09359496932643259,0.015015708521731841,0.2773551940917969,0.3801314842882495,False
MEO,smote,accuracy,0.7220000000000001,0.5690000000000001,-0.153,-0.1763316478354085,-0.1296683521645915,1.9073486328125e-06,4.858340857163915e-06,True
MEO,adasyn,roc_auc,0.5201754385964912,0.5252192982456141,0.005043859649122806,-0.020346927176583814,0.030434646474829425,0.5958194732666016,0.7240419556883425,False
MEO,adasyn,pr_auc,0.7824836316353312,0.7891337396422313,0.006650108006900146,-0.006563243965084126,0.019863459978884418,0.36827659606933594,0.4922508957362411,False
MEO,adasyn,balanced_accuracy,0.5127741228070176,0.5081140350877192,-0.004660087719298234,-0.03038344519459818,0.021063269756001708,0.5705966949462891,0.706702328603202,False
MEO,adasyn,gmean,0.29683448868140794,0.48364600750340375,0.18681151882199593,0.13187267779689155,0.2417503598471003,3.814697265625e-06,9.449250107511467e-06,True
MEO,adasyn,sensitivity,0.9151315789473685,0.6453947368421054,-0.2697368421052632,-0.29816811740169274,-0.24130556680883367,1.9073486328125e-06,4.858340857163915e-06,True
MEO,adasyn,specificity,0.11041666666666664,0.37083333333333335,0.2604166666666667,0.213123875596968,0.3077094577363654,1.9073486328125e-06,4.858340857163915e-06,True
MEO,adasyn,f1,0.8332909462963182,0.6986583848705521,-0.13463256142576588,-0.15427597022089803,-0.11498915263063372,1.9073486328125e-06,4.858340857163915e-06,True
MEO,adasyn,mcc,0.031794991540270774,0.014472176861502267,-0.01732281467876849,-0.07371498404679194,0.039069354689254966,0.5458755493164062,0.6791999922370031,False
MEO,adasyn,accuracy,0.7220000000000001,0.5795,-0.14249999999999996,-0.16537129419447846,-0.11962870580552147,1.9073486328125e-06,4.858340857163915e-06,True
